Year,Month,Day,Consumption
2015,12,27,4.46106
2015,12,28,5.35803
2015,12,29,5.57455
2015,12,30,5.24757
2015,12,31,4.59849
2016,01,01,4.41529
2016,01,02,4.43160
2016,01,03,4.28728
2016,01,04,5.41373
2016,01,05,5.45573
2016,01,06,4.47623
2016,01,07,7.07286
2016,01,08,6.13563
2016,01,09,5.39375
2016,01,10,4.84423
2016,01,11,5.89024
2016,01,12,6.31649
2016,01,13,6.62828
2016,01,14,6.97027
2016,01,15,6.32692
2016,01,16,5.67455
2016,01,17,5.10569
2016,01,18,6.12501
2016,01,19,6.61978
2016,01,20,6.74464
2016,01,21,6.90223
2016,01,22,6.19996
2016,01,23,5.33657
2016,01,24,4.80994
2016,01,25,5.95127
2016,01,26,6.03506
2016,01,27,5.91160
2016,01,28,5.97720
2016,01,29,5.62633
2016,01,30,4.89160
2016,01,31,4.31008
2016,02,01,5.68876
2016,02,02,5.82268
2016,02,03,5.73595
2016,02,04,6.26742
2016,02,05,5.81418
2016,02,06,4.92379
2016,02,07,4.27327
2016,02,08,5.41488
2016,02,09,5.85643
2016,02,10,5.23039
2016,02,11,5.35744
2016,02,12,5.39416
2016,02,13,4.75000
2016,02,14,3.93383
2016,02,15,5.40997
2016,02,16,5.93561
2016,02,17,5.84304
2016,02,18,6.26755
2016,02,19,5.78081
2016,02,20,4.95442
2016,02,21,4.55266
2016,02,22,5.60959
2016,02,23,6.11160
2016,02,24,6.15662
2016,02,25,6.17124
2016,02,26,5.70458
2016,02,27,5.10530
2016,02,28,4.54992
2016,02,29,5.63919
2016,03,01,5.93348
2016,03,02,6.51181
2016,03,03,6.51915
2016,03,04,6.01384
